排名,电影名,导演,年份,国家/地区,评分,评价人数,一句话评价
306,七武士,黑泽明 Akira Kurosawa,1954,日本,9.3,217553,时代悲歌。
307,射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,1993,中国香港,8.7,684579,百看不厌。 
308,惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,美国,9.0,330794,故事的反转与反转，分裂电影的始祖。
309,血战钢锯岭,梅尔·吉布森 Mel Gibson,2016,澳大利亚 美国,8.7,826313,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
310,我是山姆,杰茜·尼尔森 Jessie Nelson,2001,美国,9.0,360606,爱并不需要智商 。
311,阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,2011,韩国,8.8,616589,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
312,恐怖直播,金秉祐 Byeong-woo Kim,2013,韩国,8.7,698497,恐怖分子的“秋菊打官司”。
313,你的名字。,新海诚 Makoto Shinkai,2016,日本,8.5,1520942,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
314,黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,2003,美国,8.8,475810,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
315,三块广告牌,马丁·麦克唐纳 Martin McDonagh,2017,英国 美国,8.7,878972,怼天怼地，你走后，她与世界为敌。
316,心迷宫,忻钰坤 Yukun Xin,2014,中国大陆,8.8,578317,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
317,电锯惊魂,詹姆斯·温 James Wan,2004,美国,8.7,579495,真相就在眼前。
318,小丑,托德·菲利普斯 Todd Phillips,2019,美国 加拿大,8.7,1084577,无
319,达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,2013,美国,8.8,484343,Jared Leto的腿比女人还美！
320,背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,中国大陆 中国香港,9.5,160519,无
321,心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020,美国,8.7,1071552,无
322,疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,美国,8.7,887027,老少皆宜，这就是好莱坞动画的魅力。
323,谍影重重3,保罗·格林格拉斯 Paul Greengrass,2007,美国 德国 法国 英国,8.8,447503,像吃了苏打饼一样干脆的电影。
324,绿里奇迹,弗兰克·德拉邦特 Frank Darabont,1999,美国,8.9,365295,天使暂时离开。
325,上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,2002,巴西 法国,9.0,320233,被上帝抛弃了的上帝之城。
351,爱在午夜降临前,理查德·林克莱特 Richard Linklater,2013,美国 希腊,8.9,443511,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
352,海街日记,是枝裕和 Hirokazu Koreeda,2015,日本,8.8,491396,是枝裕和的家庭习作。
353,英雄本色,吴宇森 John Woo,1986,中国香港,8.6,579748,英雄泪短，兄弟情长。 
354,风之谷,宫崎骏 Hayao Miyazaki,1984,日本,8.9,377615,动画片的圣经。
355,无间道2,刘伟强 / 麦兆辉,2003,中国香港,8.8,531300,无
356,疯狂的石头,宁浩 Hao Ning,2006,中国大陆 中国香港,8.6,883335,中国版《两杆大烟枪》。
357,2001太空漫游,斯坦利·库布里克 Stanley Kubrick,1968,英国 美国,8.9,367845,现代科幻电影的开山之作，最伟大导演的最伟大影片。
358,雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,美国,9.1,250273,骨灰级歌舞片。
359,纵横四海,吴宇森 John Woo,1991,中国香港,8.8,455281,香港浪漫主义警匪动作片的巅峰之作。
360,卢旺达饭店,特瑞·乔治 Terry George,2004,英国 南非 意大利 美国,8.9,352529,当这个世界闭上双眼，他却敞开了怀抱。
361,记忆碎片,克里斯托弗·诺兰 Christopher Nolan,2000,美国,8.7,642001,一个针管引发的血案。
362,小偷家族,是枝裕和 Hirokazu Koreeda,2018,日本,8.7,864578,我们组成了家。
363,无敌破坏王,瑞奇·莫尔 Rich Moore,2012,美国,8.7,583007,迪士尼和皮克斯拿错剧本的产物。
364,岁月神偷,罗启锐 Alex Law,2010,中国香港 中国大陆,8.7,597792,岁月流逝，来日可追。
365,冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,美国,8.6,657524,松鼠才是角儿。
366,牯岭街少年杀人事件,杨德昌 Edward Yang,1991,中国台湾,8.9,339732,弱者送给弱者的一刀。
367,忠犬八公物语,神山征二郎 Seijirô Kôyama,1987,日本,9.2,209343,养狗三日，便会对你终其一生。
